timestamp	project_id	experiment_id	variation_id	end_user_id	uuid	user_ip	user_agent	revenue	event_name	iOS SDK Version	iOS App Version	iOS Device Model
2016-06-06T18:17:15.000Z	2345678901	3456789012	4567890123	oeu-1434921896muCHeUe0QT	296644c77337961f	107.77.229.###	SampleApp/7.2 (iPhone; iOS 9.3.2; Scale/3.00)	0	visitor-event	1.4.2	7.2	iPhone
2016-06-06T18:17:01.000Z	2345678901	3456789012	4567890123	oeu-1451319751hTGeCcDOJM		172.56.41.###	SampleApp/7.2 (iPhone; iOS 9.3.2; Scale/2.00)	45	mobile_session	1.4.2	7.2	iPhone
2016-06-06T18:16:34.000Z	2345678901	3456789012	4567890123	oeu-14652333222RjyPYYBfu		94.73.25.###	SampleApp/7.2 (iPhone; iOS 9.3.2; Scale/2.00)	0	Day 0 Usage	1.4.2	7.2	iPhone
2016-06-06T18:18:09.000Z	2345678901	3456789012	4567890123	oeu-1459724607bJ5fW6DSLL		86.186.36.###	SampleApp/7.2 (iPhone; iOS 9.3.2; Scale/3.00)	2	mobile_session	1.4.2	7.2	iPhone
2016-06-06T18:17:03.000Z	2345678901	3456789012	4567890123	oeu-14652333222RjyPYYBfu		94.73.25.###	SampleApp/7.2 (iPhone; iOS 9.3.2; Scale/2.00)	0	Day 0 Usage	1.4.2	7.2	iPhone
2016-06-04T16:03:22.000Z	2345678901	3456789012	4567890123	oeu-1465056262BoClLnz5kl		86.163.248.###	SampleApp/7.2 (iPad; iOS 9.3.1; Scale/2.00)	71	mobile_session	1.4.2	7.2	iPad
2016-06-06T18:09:22.000Z	2345678901	3456789012	5812760476	oeu-1450280822Eppl7t8PMb		2600:387:8:9::####	SampleApp/7.2 (iPad; iOS 9.3.1; Scale/2.00)	478	mobile_session	1.4.2	7.2	iPad
2016-06-06T18:17:33.000Z	2345678901	3456789012	4567890123	oeu-1459724607bJ5fW6DSLL		86.186.36.###	SampleApp/7.2 (iPhone; iOS 9.3.2; Scale/3.00)	0	visitor-event	1.4.2	7.2	iPhone
2016-06-06T18:16:49.000Z	2345678901	3456789012	5812760476	oeu-1450532310CzYvXNWDYo	c801b78f04aa7949	217.207.113.###	SampleApp/7.2 (iPad; iOS 9.3.2; Scale/2.00)	0	visitor-event	1.4.2	7.2	iPad
2016-06-06T18:17:00.000Z	2345678901	3456789012	5812760476	oeu-1430328806B0bnMhBxGI	0b4dd413a76e30d3	62.242.206.###	SampleApp/7.2 (iPad; iOS 9.3.2; Scale/2.00)	0	visitor-event	1.4.2	7.2	iPad
2016-05-30T08:25:24.000Z	2345678901	3456789012	5812760476	oeu-14404878305Pl0sncEHo	1ee17860ad66cba3	85.76.0.###	SampleApp/7.2 (iPhone; iOS 9.3.2; Scale/2.00)	111	mobile_session	1.4.2	7.2	iPhone
2016-06-06T18:17:09.000Z	2345678901	3456789012	5812760476	oeu-1460479577krrJ7lSBnq	692fb82af6f5a4f0	93.192.229.###	SampleApp/7.2 (iPhone; iOS 9.3.2; Scale/2.00)	0	First Month Usage	1.4.2	7.2	iPhone
2016-06-06T18:16:25.000Z	2345678901	3456789012	5812760476	oeu-1444414465dkWOwgtuna	4e9161e7e8eb1ba0	84.123.187.###	SampleApp/7.2 (iPad; iOS 9.3.2; Scale/2.00)	80	mobile_session	1.4.2	7.2	iPad
2016-06-06T18:17:40.000Z	2345678901	3456789012	5812760476	oeu-143692591423AOcmjVJ7	862d1c069a4e31ce	205.204.25.###	SampleApp/7.2 (iPhone; iOS 9.3.2; Scale/2.00)	0	visitor-event	1.4.2	7.2	iPhone
